iter	F1	Logloss
0	0.8941886157	0.643428698
1	0.8948446328	0.5953073628
2	0.8881802426	0.5570452839
3	0.892406402	0.5258236603
4	0.9006805615	0.4994716475
5	0.8963135265	0.4746639394
6	0.9033498273	0.4523664798
7	0.9031937191	0.4318821289
8	0.905413065	0.4113466575
9	0.9031253318	0.3917373457
10	0.9027498323	0.3781506356
11	0.9039288989	0.3655975636
12	0.907336726	0.3548040762
13	0.9062687834	0.3425513056
14	0.9077097025	0.3315367267
15	0.9089750849	0.3204628839
16	0.911193077	0.3108069258
17	0.913162284	0.3017570233
18	0.9170590109	0.2937039521
19	0.9210954639	0.2863180121
20	0.9218727865	0.2798795229
21	0.9251498068	0.2730178278
22	0.9267322513	0.2665014022
23	0.9281654114	0.2605637501
24	0.9302954788	0.2544576695
25	0.9312308678	0.249553799
26	0.9325070342	0.2449021945
27	0.9337278528	0.2391579034
28	0.9347282725	0.2343401484
29	0.9358951466	0.2302375778
30	0.9373524995	0.2248550761
31	0.9380657626	0.2211938816
32	0.9396252105	0.2166155677
33	0.9401648155	0.2136664544
34	0.9422849568	0.2099527762
35	0.9433150479	0.2061673678
36	0.9442611191	0.2031870262
37	0.9461185249	0.2000556729
38	0.9470246213	0.1974531206
39	0.9474175371	0.1945447243
40	0.9484669177	0.1915172083
41	0.9491403754	0.1891337207
42	0.9493193492	0.1859390318
43	0.9501365139	0.1831301501
44	0.9517102616	0.1806109331
45	0.953076121	0.1786234228
46	0.9538406188	0.1768199284
47	0.9544783907	0.1738424925
48	0.955595538	0.1721652029
49	0.9570163439	0.1696572682
50	0.9567631892	0.1673302284
51	0.958168049	0.16540939
52	0.9591078067	0.1633088048
53	0.959168201	0.1613150346
54	0.9602342564	0.1597175466
55	0.9607261681	0.1582320574
56	0.9614451725	0.1563076495
57	0.9617486339	0.1546296244
58	0.9626922381	0.1528294483
59	0.9634671784	0.1513093406
60	0.9644989686	0.1503138098
61	0.9642495296	0.1492680732
62	0.9649701141	0.1475605148
63	0.9658268173	0.146009125
64	0.9660691653	0.1450549479
65	0.9662066717	0.1439878752
66	0.9665338645	0.1427712438
67	0.9669708822	0.1412620956
68	0.9672932739	0.140000523
69	0.9678190911	0.1386326019
70	0.9679336208	0.137086073
71	0.9678962244	0.1352693231
72	0.968747734	0.1337313233
73	0.9687738005	0.1328041772
74	0.9693540783	0.1318183054
75	0.9697475334	0.1303831205
76	0.9701367974	0.1293207115
77	0.9707568391	0.1285001472
78	0.9714182082	0.1277422996
79	0.9715944132	0.1270024249
80	0.9718452942	0.1260853594
81	0.9717436251	0.125080008
82	0.9720609579	0.123919932
83	0.9726688686	0.1229114326
84	0.9729454915	0.1219944928
85	0.9739679773	0.1210804766
86	0.974396223	0.1200318611
87	0.9746812452	0.1189978733
88	0.9751453488	0.1178363354
89	0.9754980369	0.1165907716
90	0.9756115291	0.1159425012
91	0.9760424619	0.1149404054
92	0.9763212454	0.1139237806
93	0.9767154188	0.1128401162
94	0.9770386813	0.1119603059
95	0.9772942289	0.1106925092
96	0.977688808	0.1097281438
97	0.9780851838	0.109050098
98	0.9782276269	0.1087054653
99	0.9782972835	0.1079616982
100	0.9784041662	0.1077436111
101	0.9784754343	0.1065194013
102	0.9786180017	0.1062221223
103	0.9789853225	0.1056688284
104	0.9790225071	0.1048211522
105	0.9792736677	0.1045443842
